Stock,Maturity,Stock Price,Strike,Option Price,IV
AAPL,4/18/2019,188.47,182.5,8.1,24.12211037
AAPL,4/18/2019,188.47,185,6.35,23.5265522
AAPL,4/18/2019,188.47,187.5,4.85,23.18011475
AAPL,4/18/2019,188.47,190,3.55,22.68279839
AAPL,4/18/2019,188.47,192.5,2.51,22.35398102
ACN,4/18/2019,166.47,162.5,6.5,27.45676231
ACN,4/18/2019,166.47,165,4.85,26.39904785
ACN,4/18/2019,166.47,167.5,3.35,24.78943253
ACN,4/18/2019,166.47,170,2.13,23.20703697
ACN,4/18/2019,166.47,172.5,1.28,22.21465683
AMZN,4/18/2019,1765.7,1760,49.78,26.60246658
AMZN,4/18/2019,1765.7,1762.5,48.4,26.54497528
AMZN,4/18/2019,1765.7,1765,47.03,26.47498703
AMZN,4/18/2019,1765.7,1767.5,45.75,26.4507103
AMZN,4/18/2019,1765.7,1770,44.47,26.41374016
BAC,4/18/2019,27.03,26,1.39,28.82340431
BAC,4/18/2019,27.03,26.5,1.05,28.27202606
BAC,4/18/2019,27.03,27,0.76,27.55047035
BAC,4/18/2019,27.03,27.5,0.51,26.69316292
BAC,4/18/2019,27.03,28,0.35,26.67131424
CL,4/18/2019,67.01,66,1.63,16.19902611
CL,4/18/2019,67.01,66.5,1.31,15.97974205
CL,4/18/2019,67.01,67,1.08,16.57694244
CL,4/18/2019,67.01,67.5,0.84,16.42237854
CL,4/18/2019,67.01,68,0.69,17.13167
DAL,4/18/2019,49.97,49,2.07,31.41964531
DAL,4/18/2019,49.97,49.5,1.77,31.11386299
DAL,4/18/2019,49.97,50,1.5,30.79693794
DAL,4/18/2019,49.97,50.5,1.26,30.456604
DAL,4/18/2019,49.97,51,1.05,30.29758453
DIS,4/18/2019,110.28,108,4.28,26.69483566
DIS,4/18/2019,110.28,109,3.63,26.18398094
DIS,4/18/2019,110.28,110,3.05,25.8856163
DIS,4/18/2019,110.28,111,2.52,25.44007301
DIS,4/18/2019,110.28,112,2.05,25.15821266
F,4/18/2019,8.62,7.5,1.21,50.55707932
F,4/18/2019,8.62,8,0.71,32.57516479
F,4/18/2019,8.62,8.5,0.31,26.45092392
F,4/18/2019,8.62,9,0.09,25.54930878
F,4/18/2019,8.62,9.5,0.02,26.95994377
GOOG,4/18/2019,1173.02,1167.5,27.5,20.85341072
GOOG,4/18/2019,1173.02,1170,26.05,20.74644089
GOOG,4/18/2019,1173.02,1172.5,24.65,20.64712334
GOOG,4/18/2019,1173.02,1175,23.35,20.59854126
GOOG,4/18/2019,1173.02,1177.5,22.05,20.51265144
IBM,4/18/2019,139.24,137,5.75,32.24031067
IBM,4/18/2019,139.24,138,5.15,31.92553902
IBM,4/18/2019,139.24,139,4.58,31.53576279
IBM,4/18/2019,139.24,140,4.05,31.24781609
IBM,4/18/2019,139.24,141,3.55,30.87176323
KHC,4/18/2019,32.64,27.5,5.25,40.88589859
KHC,4/18/2019,32.64,30,2.77,25.27559471
KHC,4/18/2019,32.64,32.5,0.83,22.49047089
KHC,4/18/2019,32.64,35,0.13,24.08287811
KHC,4/18/2019,32.64,37.5,0.03,32.58931351
KO,4/18/2019,46.61,45.5,1.32,14.17511845
KO,4/18/2019,46.61,46,0.94,13.46809387
KO,4/18/2019,46.61,46.5,0.63,12.90089417
KO,4/18/2019,46.61,47,0.39,12.54341507
KO,4/18/2019,46.61,47.5,0.22,12.24024487
PM,4/18/2019,87.03,86,2.71,25.14541817
PM,4/18/2019,87.03,86.5,2.41,24.78471184
PM,4/18/2019,87.03,87,2.13,24.5058918
PM,4/18/2019,87.03,87.5,1.87,24.24121094
PM,4/18/2019,87.03,88,1.63,23.98591805
SNE,4/18/2019,42.79,42,1.45,25.37656593
SNE,4/18/2019,42.79,42.5,1.15,24.86520004
SNE,4/18/2019,42.79,43,0.9,24.47610855
SNE,4/18/2019,42.79,43.5,0.68,24.12781525
SNE,4/18/2019,42.79,44,0.5,23.89842033
T,4/18/2019,31.4,30.5,1.04,16.30966759
T,4/18/2019,31.4,31,0.65,15.42178726
T,4/18/2019,31.4,31.5,0.35,14.87904453
T,4/18/2019,31.4,32,0.16,14.94931221
T,4/18/2019,31.4,32.5,0.06,14.61970043
TSLA,4/18/2019,274.83,270,17.8,57.15077591
TSLA,4/18/2019,274.83,272.5,16.38,56.58301544
TSLA,4/18/2019,274.83,275,15.03,56.05967712
TSLA,4/18/2019,274.83,277.5,13.7,55.38565445
TSLA,4/18/2019,274.83,280,12.43,54.64146423
TTM,4/18/2019,12.17,11,1.32,47.15167999
TTM,4/18/2019,12.17,11.5,0.93,43.93340302
TTM,4/18/2019,12.17,12,0.55,37.99037933
TTM,4/18/2019,12.17,12.5,0.33,38.42476654
TTM,4/18/2019,12.17,13,0.18,38.48906326
VZ,4/18/2019,60.88,60,1.28,14.75846767
VZ,4/18/2019,60.88,60.5,0.94,14.35651398
VZ,4/18/2019,60.88,61,0.66,13.91292286
VZ,4/18/2019,60.88,61.5,0.43,13.51327324
VZ,4/18/2019,60.88,62,0.28,13.39787102
