Stock,Maturity,Spot Price,Strike,Average Price,Average IV
AAPL,4/18/2019,188.47,182.5,6.6,23.9005
AAPL,4/18/2019,188.47,185,4.64,23.389
AAPL,4/18/2019,188.47,187.5,2.99,22.9585
AAPL,4/18/2019,188.47,190,1.75,22.5975
AAPL,4/18/2019,188.47,192.5,0.92,22.308
ACN,4/18/2019,166.47,162.5,4.46,25.5655
ACN,4/18/2019,166.47,165,2.81,24.815
ACN,4/18/2019,166.47,167.5,1.57,24.138
ACN,4/18/2019,166.47,170,0.76,23.503
ACN,4/18/2019,166.47,172.5,0.31,22.9115
AMZN,4/18/2019,1765.7,1755,32.38,26.663
AMZN,4/18/2019,1765.7,1760,29.56,26.566
AMZN,4/18/2019,1765.7,1765,26.89,26.4715
AMZN,4/18/2019,1765.7,1770,24.37,26.3785
AMZN,4/18/2019,1765.7,1775,22.01,26.2885
BAC,4/18/2019,27.03,26,1.13,28.3375
BAC,4/18/2019,27.03,26.5,0.74,27.487
BAC,4/18/2019,27.03,27,0.43,26.775
BAC,4/18/2019,27.03,27.5,0.22,26.2045
BAC,4/18/2019,27.03,28,0.09,25.7965
CL,4/18/2019,67.01,66,1.25,16.8525
CL,4/18/2019,67.01,66.5,0.91,16.79
CL,4/18/2019,67.01,67,0.63,16.7825
CL,4/18/2019,67.01,67.5,0.42,16.828
CL,4/18/2019,67.01,68,0.27,16.926
DAL,4/18/2019,49.97,49,1.45,31.1645
DAL,4/18/2019,49.97,49.5,1.12,30.8385
DAL,4/18/2019,49.97,50,0.85,30.5435
DAL,4/18/2019,49.97,50.5,0.62,30.278
DAL,4/18/2019,49.97,51,0.44,30.0415
DIS,4/18/2019,110.28,108,3.01,25.8555
DIS,4/18/2019,110.28,109,2.32,25.469
DIS,4/18/2019,110.28,110,1.72,25.1225
DIS,4/18/2019,110.28,111,1.23,24.816
DIS,4/18/2019,110.28,112,0.84,24.5505
F,4/18/2019,8.62,7.5,1.1,36.683
F,4/18/2019,8.62,8,0.61,29.1725
F,4/18/2019,8.62,8.5,0.18,23.8385
F,4/18/2019,8.62,9,0.02,25.432
GOOG,4/18/2019,1173.02,1167.5,16.85,20.659
GOOG,4/18/2019,1173.02,1170,15.4,20.554
GOOG,4/18/2019,1173.02,1172.5,13.9,20.45
GOOG,4/18/2019,1173.02,1175,12.73,20.3475
GOOG,4/18/2019,1173.02,1177.5,11.51,20.2465
IBM,4/18/2019,139.24,137,3.76,31.758
IBM,4/18/2019,139.24,138,3.13,31.4
IBM,4/18/2019,139.24,139,2.56,31.048
IBM,4/18/2019,139.24,140,2.06,30.6985
IBM,4/18/2019,139.24,141,1.62,30.35
KHC,4/18/2019,32.64,27.5,5.14,35.7555
KHC,4/18/2019,32.64,30,2.65,25.7145
KHC,4/18/2019,32.64,32.5,0.49,22.1115
KHC,4/18/2019,32.64,35,0.01,23.475
KO,4/18/2019,46.61,45.5,1.19,13.828
KO,4/18/2019,46.61,46,0.76,13.203
KO,4/18/2019,46.61,46.5,0.41,12.736
KO,4/18/2019,46.61,47,0.18,12.418
KO,4/18/2019,46.61,47.5,0.06,12.2445
PM,4/18/2019,87.03,86,1.84,25.281
PM,4/18/2019,87.03,86.5,1.52,24.9915
PM,4/18/2019,87.03,87,1.24,24.7135
PM,4/18/2019,87.03,87.5,0.99,24.4445
PM,4/18/2019,87.03,88,0.78,24.1835
SNE,4/18/2019,42.79,42,0.96,24.656
SNE,4/18/2019,42.79,42.5,0.65,24.2665
SNE,4/18/2019,42.79,43,0.42,23.9935
SNE,4/18/2019,42.79,43.5,0.25,23.823
SNE,4/18/2019,42.79,44,0.14,23.7485
T,4/18/2019,31.4,30.5,0.75,16.7945
T,4/18/2019,31.4,31,0.38,15.7815
T,4/18/2019,31.4,31.5,0.14,14.908
T,4/18/2019,31.4,32,0.04,14.604
T,4/18/2019,31.4,32.5,0.01,15.034
TSLA,4/18/2019,274.83,270,11.2,57.3255
TSLA,4/18/2019,274.83,272.5,9.75,56.709
TSLA,4/18/2019,274.83,275,8.42,56.1115
TSLA,4/18/2019,274.83,277.5,7.21,55.5325
TSLA,4/18/2019,274.83,280,6.1,54.9745
TTM,4/18/2019,12.17,11,1.18,43.0865
TTM,4/18/2019,12.17,11.5,0.72,39.438
TTM,4/18/2019,12.17,12,0.35,36.7285
TTM,4/18/2019,12.17,12.5,0.12,36.0835
TTM,4/18/2019,12.17,13,0.04,37.5915
VZ,4/18/2019,60.88,60,0.89,14.907
VZ,4/18/2019,60.88,60.5,0.57,14.435
VZ,4/18/2019,60.88,61,0.32,14.0355
VZ,4/18/2019,60.88,61.5,0.16,13.708
VZ,4/18/2019,60.88,62,0.07,13.455
